                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.04308,                  0.995,                      1,                0.31945,              0.0001061,              0.0001061,              0.0001061
                     88,                0.03126,                  0.995,                      1,                0.31957,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.03862,                0.99375,                      1,                 0.3195,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.03499,                 0.9925,                      1,                 0.3208,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.03817,                0.99375,                      1,                0.32015,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.02548,                0.99375,                      1,                0.31989,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.02952,                0.99375,                      1,                0.31859,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.02227,                0.99375,                      1,                0.31914,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.03134,                0.99375,                      1,                0.31971,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 0.0373,                0.99375,                      1,                0.31933,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.02731,                0.99375,                      1,                0.31943,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.02872,                0.99375,                      1,                0.31978,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 0.0213,                0.99375,                      1,                0.32019,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.0318,                0.99375,                      1,                0.31983,             1.4209e-05,             1.4209e-05,             1.4209e-05
