epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1889.35,0.78151,1.38187,0.68833,1.01376,0.92552,0.79562,0.88524,0.6913,0.9196,0.78102,0.87387,0.68816,0.78045,1.34525,0.7708,1.1296,0.001208,0.001208,0.001208
42,1934.73,0.77858,1.37644,0.68293,1.01388,0.84513,0.85401,0.88878,0.69092,0.90636,0.78832,0.89125,0.6922,1.02343,1.67556,0.62225,1.46364,0.0011882,0.0011882,0.0011882
43,1980.33,0.7783,1.38215,0.68353,1.01239,0.87988,0.78102,0.88983,0.69715,0.88811,0.78832,0.89034,0.68604,1.15406,1.70378,0.79224,1.56478,0.0011684,0.0011684,0.0011684
44,2026.65,0.7756,1.38684,0.67694,1.01273,0.88748,0.83212,0.89249,0.68614,0.88748,0.83212,0.89526,0.68374,0.93958,1.36852,0.65998,1.3606,0.0011486,0.0011486,0.0011486
45,2071.36,0.7664,1.36107,0.67493,1.00832,0.90709,0.78389,0.86307,0.66824,0.91553,0.79119,0.8775,0.68308,0.66619,1.33189,0.70364,1.0961,0.0011288,0.0011288,0.0011288
46,2116.51,0.76147,1.34655,0.66732,1.00149,0.88327,0.8285,0.88704,0.69517,0.88589,0.82482,0.89258,0.69191,0.6955,1.49925,0.64914,1.09924,0.001109,0.001109,0.001109
47,2162.19,0.76445,1.34483,0.6629,1.00706,0.93884,0.77372,0.89011,0.69782,0.94138,0.77372,0.87824,0.70073,0.62017,1.33156,0.48151,1.0473,0.0010892,0.0010892,0.0010892
48,2207.76,0.77454,1.3766,0.67207,1.0089,0.85683,0.83002,0.88644,0.69505,0.90823,0.77372,0.87853,0.69204,0.78745,1.35037,0.71265,1.15493,0.0010694,0.0010694,0.0010694
49,2252.77,0.75639,1.34055,0.66012,1.00735,0.90682,0.81752,0.88562,0.6799,0.91492,0.82482,0.887,0.68053,0.71848,1.31858,0.58477,1.12045,0.0010496,0.0010496,0.0010496
50,2297.79,0.75078,1.33107,0.65643,0.9954,0.89527,0.82482,0.8953,0.70956,0.89527,0.82482,0.8951,0.7107,0.71165,1.26748,0.78463,1.12322,0.0010298,0.0010298,0.0010298
